segment_id	reference	text
pli-tv-bu-vb-np1:3.1.3	ms1V_1869	ms
pli-tv-bu-vb-np1:3.1.5	ms1V_1870	ms
pli-tv-bu-vb-np1:3.1.7	ms1V_1871	ms
pli-tv-bu-vb-np1:3.1.7	pts-vp-en2.7	pts-vp-en
pli-tv-bu-vb-np1:3.1.9	km3.5	km
pli-tv-bu-vb-np1:3.1.9	ms1V_1872	ms
pli-tv-bu-vb-np1:3.2.1	ms1V_1873	ms
pli-tv-bu-vb-np1:3.2.1	ndp1.289	ndp
pli-tv-bu-vb-np1:3.2.1	pts-cs3.2	pts-cs
pli-tv-bu-vb-np1:3.2.1	sya2.4	sya
pli-tv-bu-vb-np1:3.2.1	vri87.304	vri
pli-tv-bu-vb-np1:3.2.5	pts-vp-en2.8	pts-vp-en
pli-tv-bu-vb-np1:3.2.11	ms1V_1874	ms
pli-tv-bu-vb-np1:3.2.11	msdiv464	msdiv
pli-tv-bu-vb-np1:3.2.14	cck2.4	cck
pli-tv-bu-vb-np1:3.2.14	csp1ed1.296	csp1ed
pli-tv-bu-vb-np1:3.2.14	csp2ed1.296	csp2ed
pli-tv-bu-vb-np1:3.2.14	dr2.4	dr
pli-tv-bu-vb-np1:3.2.14	km3.6	km
pli-tv-bu-vb-np1:3.2.14	ms1V_1875	ms
pli-tv-bu-vb-np1:3.2.14	msdiv465	msdiv
pli-tv-bu-vb-np1:3.2.14	pts-vp-pli3.197	pts-vp-pli
pli-tv-bu-vb-np1:3.2.20	mc2.4	mc
pli-tv-bu-vb-np1:3.2.20	ms1V_1876	ms
pli-tv-bu-vb-np1:3.2.20	msdiv466	msdiv
pli-tv-bu-vb-np1:3.2.22	pts-vp-en2.9	pts-vp-en
pli-tv-bu-vb-np1:3.2.23	km3.7	km
pli-tv-bu-vb-np1:3.2.23	ms1V_1877	ms
pli-tv-bu-vb-np1:3.2.23	msdiv467	msdiv
pli-tv-bu-vb-np1:4.1	bj1.502	bj
pli-tv-bu-vb-np1:4.1	km3.8	km
pli-tv-bu-vb-np1:4.1	ms1V_1878	ms
pli-tv-bu-vb-np1:4.1	msdiv468	msdiv
pli-tv-bu-vb-np1:4.1	pts-cs4	pts-cs
pli-tv-bu-vb-np1:4.1	sya2.5	sya
pli-tv-bu-vb-np1:4.1	vri87.305	vri
pli-tv-bu-vb-np1:4.9	pts-vp-en2.10	pts-vp-en
pli-tv-bu-vb-np1:4.11	cck2.5	cck
pli-tv-bu-vb-np1:4.11	ms1V_1879	ms
pli-tv-bu-vb-np1:4.11	ndp1.290	ndp
pli-tv-bu-vb-np1:4.15.1	dr2.5	dr
pli-tv-bu-vb-np1:4.15.1	ms1V_1880	ms
pli-tv-bu-vb-np1:4.15.1	msdiv469	msdiv
pli-tv-bu-vb-np1:5.1	csp1ed1.297	csp1ed
pli-tv-bu-vb-np1:5.1	csp2ed1.297	csp2ed
pli-tv-bu-vb-np1:5.1	km3.9	km
pli-tv-bu-vb-np1:5.1	mc2.5	mc
pli-tv-bu-vb-np1:5.1	ms1V_1881	ms
pli-tv-bu-vb-np1:5.1	msdiv470	msdiv
pli-tv-bu-vb-np1:5.1	pts-cs5	pts-cs
pli-tv-bu-vb-np1:5.1	sya2.6	sya
pli-tv-bu-vb-np1:5.3	pts-vp-en2.11	pts-vp-en
pli-tv-bu-vb-np1:5.5	ms1V_1882	ms
pli-tv-bu-vb-np2:1.1	cck2.6	cck
pli-tv-bu-vb-np2:1.1	dr2.6	dr
pli-tv-bu-vb-np2:1.1	km3.10	km
pli-tv-bu-vb-np2:1.1	ms1V_1883	ms
pli-tv-bu-vb-np2:1.1	msdiv471	msdiv
pli-tv-bu-vb-np2:1.1	pts-cs1	pts-cs
pli-tv-bu-vb-np2:1.1	pts-vp-en2.12	pts-vp-en
pli-tv-bu-vb-np2:1.1	pts-vp-pli3.198	pts-vp-pli
pli-tv-bu-vb-np2:1.1	sya2.7	sya
pli-tv-bu-vb-np2:1.1	vri87.306	vri
pli-tv-bu-vb-np2:1.11	km3.11	km
pli-tv-bu-vb-np2:1.11	ms1V_1884	ms
pli-tv-bu-vb-np2:1.11	ndp1.291	ndp
pli-tv-bu-vb-np2:1.11	sya2.8	sya
pli-tv-bu-vb-np2:1.13	pts-vp-en2.13	pts-vp-en
pli-tv-bu-vb-np2:1.18.1	bj1.504	bj
pli-tv-bu-vb-np2:1.18.1	mc2.6	mc
pli-tv-bu-vb-np2:1.18.1	ms1V_1885	ms
pli-tv-bu-vb-np2:1.18.1	msdiv472	msdiv
pli-tv-bu-vb-np2:1.19	ms1V_1886	ms
pli-tv-bu-vb-np2:2.1	cck2.7	cck
pli-tv-bu-vb-np2:2.1	csp1ed1.298	csp1ed
pli-tv-bu-vb-np2:2.1	csp2ed1.298	csp2ed
pli-tv-bu-vb-np2:2.1	dr2.7	dr
pli-tv-bu-vb-np2:2.1	km3.12	km
pli-tv-bu-vb-np2:2.1	ms1V_1887	ms
pli-tv-bu-vb-np2:2.1	msdiv473	msdiv
pli-tv-bu-vb-np2:2.1	pts-cs2	pts-cs
pli-tv-bu-vb-np2:2.1	pts-vp-pli3.199	pts-vp-pli
pli-tv-bu-vb-np2:2.1	sya2.9	sya
